epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.0383,1.52756,2.96993,1.15136,0.26204,0.13375,0.18049,0.11107,1.43538,1.93837,1.1329,5.716e-05,5.716e-05,5.716e-05
2,137.184,1.19749,1.48575,1.00299,0.60697,0.31053,0.27337,0.14401,1.31225,3.02342,1.07876,0.000126488,0.000126488,0.000126488
3,200.028,1.11752,0.8533,0.97436,0.82157,0.35068,0.41157,0.26417,1.04546,1.96807,0.99397,0.000193458,0.000193458,0.000193458
4,260.709,1.05143,0.69118,0.97846,0.97021,0.50585,0.53312,0.35172,1.02882,1.07144,0.99878,0.00025807,0.00025807,0.00025807
5,327.292,1.05489,0.63018,0.96528,0.87026,0.18627,0.24968,0.17721,0.98793,1.1392,0.97324,0.000320325,0.000320325,0.000320325
6,407.55,1.02658,0.60013,0.94534,0.91249,0.24267,0.30792,0.2113,0.96993,0.9694,0.96446,0.000380221,0.000380221,0.000380221
7,474.198,1.03013,0.56483,0.94521,0.92562,0.71463,0.75321,0.48994,1.01119,0.77712,0.9892,0.00043776,0.00043776,0.00043776
8,552.158,1.03586,0.53739,0.93983,0.99141,0.50585,0.53522,0.3668,0.98206,0.66321,0.97747,0.000492941,0.000492941,0.000492941
9,633.561,1.04124,0.5617,0.97713,0.93239,0.90311,0.90489,0.62904,0.9677,0.63524,0.95461,0.000545764,0.000545764,0.000545764
10,716.71,1.01336,0.51414,0.94773,0.98762,0.99163,0.99457,0.69752,0.96132,0.53588,0.95418,0.000596229,0.000596229,0.000596229
11,814.126,1.06212,0.51227,0.97158,0.99169,0.98665,0.99108,0.69736,0.96673,0.55067,0.96109,0.000644336,0.000644336,0.000644336
12,931.621,1.04276,0.52163,0.95829,0.9969,0.99726,0.99473,0.68857,1.01523,0.54168,0.96892,0.000690086,0.000690086,0.000690086
13,1037.92,1.0338,0.51277,0.96365,0.99354,0.99726,0.99479,0.67814,1.00147,0.52846,0.98044,0.000733477,0.000733477,0.000733477
14,1106.56,1.02927,0.49866,0.94223,0.99389,0.99726,0.99472,0.68903,0.94852,0.47199,0.95619,0.000774511,0.000774511,0.000774511
15,1172.48,1.02148,0.48961,0.93896,0.99144,0.99703,0.99456,0.65986,0.98059,0.49376,0.96233,0.000813187,0.000813187,0.000813187
16,1240.91,1.02171,0.49391,0.95048,0.99329,0.99726,0.99459,0.7058,0.98632,0.5019,0.96151,0.000849505,0.000849505,0.000849505
17,1298.74,1.03328,0.48055,0.9391,0.99547,0.99726,0.9948,0.69892,0.95263,0.45466,0.95508,0.000883465,0.000883465,0.000883465
18,1355.63,1.0044,0.46409,0.94432,0.99287,0.99589,0.99476,0.69688,0.95006,0.47705,0.95233,0.000915067,0.000915067,0.000915067
19,1417.94,0.99287,0.47257,0.94903,0.99777,0.99532,0.99469,0.70346,0.95479,0.49485,0.94549,0.000944312,0.000944312,0.000944312
20,1479.14,1.02831,0.47211,0.96038,0.99713,0.99726,0.99477,0.68284,0.94805,0.45175,0.9478,0.000971198,0.000971198,0.000971198
21,1543.38,0.9942,0.45571,0.94125,0.99721,0.99726,0.99496,0.68991,0.95789,0.42632,0.94452,0.00095743,0.00095743,0.00095743
